Topic,Date Published,Article Name,Author,Link
"State Expiry, Portal Network",12/01/2021,The winding road to functional light clients - part 1,Piper Merriam,https://snakecharmers.ethereum.org/the-winding-road-to-functional-light-clients/
"State Expiry, Portal Network",14/01/2021,The winding road to functional light clients - part 2,Piper Merriam,https://snakecharmers.ethereum.org/the-winding-road-to-functional-light-clients-part-2/
"State Expiry, Portal Network",15/01/2021,The winding road to functional light clients - part 3,Piper Merriam,https://snakecharmers.ethereum.org/the-winding-road-to-functional-light-clients-part-3/
"State Expiry, Portal Network",30/01/2021,Alternative bounded-state-friendly address scheme,Vitalik Buterin,https://ethresear.ch/t/alternative-bounded-state-friendly-address-scheme/8602
"State Expiry, Verkle Trie Migration",01/01/2018,Verkle Trees,John Kuszmaul,https://math.mit.edu/research/highschool/primes/materials/2018/Kuszmaul.pdf
"State Expiry, Verkle Trie Migration",25/03/2021,Proposed Verkle tree scheme for Ethereum State,Vitalik Buterin,https://ethereum-magicians.org/t/proposed-verkle-tree-scheme-for-ethereum-state/5805
"State Expiry, Verkle Trie Migration",18/06/2021,Verkle trie for Eth1 state,Dankrad Feist,https://dankradfeist.de/ethereum/cryptography/2021/06/18/verkle-trie-for-eth1.html
"State Expiry, Verkle Trie Migration",18/06/2021,Verkle Trees,Vitalik Buterin,https://vitalik.ca/general/2021/06/18/verkle.html
"State Expiry, Witness",18/02/2021,Ethereum Witness Protocol,Felix Lange,https://github.com/ethereum/devp2p/blob/master/caps/wit.md
Sync,03/03/2021,Geth v1.10.1,Peter Szilagyi,https://blog.ethereum.org/2021/03/03/geth-v1-10-0/
Typed Transactions,13/09/2020,EIP-2976: Typed Transactions over Gossip,Micah Zoltu,https://eips.ethereum.org/EIPS/eip-2976
Typed Transactions,01/01/2021,SSZ & Typed Transactions,Piper Merriam,https://notes.ethereum.org/71-fSPtGRi-ab-npDf2oIA
Typed Transactions,01/01/2021,The Path to 2929,Micah Zoltu,https://notes.ethereum.org/kvDtI9BsS6qFdsLDY_YwpQ
Typed Transactions,01/01/2021,Typed Transactions,Micah Zoltu,https://notes.ethereum.org/Ck-KDLVaQgCHBMfeIhZTcQ
Typed Transactions,14/04/2021,Specify encoding of all consensus objects,Felix Lange,https://github.com/ethereum/devp2p/pull/177/files
Typed Transactions,07/07/2021,Add Transaction Type List,Tim Beiko,https://github.com/ethereum/execution-specs/pull/220/files
"Typed Transactions, Meta-Transactions",13/06/2020,EIP-2718: Typed Transaction Envelope,Micah Zoltu,https://eips.ethereum.org/EIPS/eip-2718
"Typed Transactions, Meta-Transactions",15/10/2020,AUTH and AUTHCALL Opcodes,"Sam Wilson, Ansgar Dietrichs, Matt Garnett, Micah Zoltu",https://github.com/ethereum/EIPs/blob/master/EIPS/eip-3074.md
Verkle Trie Migration,01/03/2020,Using polynomial commitments to replace state roots,Vitalik Buterin,https://ethresear.ch/t/using-polynomial-commitments-to-replace-state-roots/7095
Verkle Trie Migration,01/05/2020,Open problem: ideal vector commitment,Vitalik Buterin,https://ethresear.ch/t/open-problem-ideal-vector-commitment/7421
Verkle Trie Migration,01/06/2021,Witness Gas Cost Reform for Verkle Trees,Vitalik Buterin,https://notes.ethereum.org/@vbuterin/witness_gas_cost_2
Verkle Trie Migration,01/06/2021,Gas Costs for code chunk access (outdated),Vitalik Buterin,https://notes.ethereum.org/@vbuterin/code_chunk_gas_cost
Verkle Trie Migration,15/09/2021,Verkle Tree EIP,Vitalik Buterin,https://notes.ethereum.org/@vbuterin/verkle_tree_eip#Verkle-tree-definition
Withdrawal Methods,01/11/2020,Dirt Simple Withdrawal Contract,Jeff Coleman,https://ethresear.ch/t/dirt-simple-withdrawal-contract/8218
